club_code,state,reporting_group_company_level
135,NJ,Independent
135,NM,Independent
135,NV,Independent
135,OH,Independent
135,OK,Independent
135,OR,Independent
135,PA,Independent
135,PR,Independent
135,RI,Independent
135,SC,Independent
135,SD,Independent
135,TN,Independent
135,TX,Independent
135,UT,Independent
135,VA,Independent
135,VI,Independent
135,VT,Independent
135,WA,Independent
135,WI,Independent
135,WV,Independent
135,WY,Independent
135,ZZ,Independent
137,AK,Independent
137,AL,Independent
137,AR,Independent
137,AZ,Independent
137,CA,Independent
004,IN,ACE
004,KS,ACE
004,KY,ACE
004,LA,ACE
004,MA,ACE
004,MD,ACE
004,ME,ACE
004,MI,ACE
004,MN,ACE
151,UT,ACE
151,VA,ACE
151,VI,ACE
151,VT,ACE
151,WA,ACE
151,WI,ACE
151,WV,ACE
151,WY,ACE
151,ZZ,ACE
154,AK,Independent
154,AL,Independent
154,AR,Independent
154,AZ,Independent
154,CA,Independent
154,CO,Independent
154,CT,Independent
154,DC,Independent
177,AR,Independent
177,AZ,Independent
177,CA,Independent
177,CO,Independent
177,CT,Independent
177,DC,Independent
177,DE,Independent
177,FL,Independent
177,GA,Independent
177,HI,Independent
177,IA,Independent
177,ID,Independent
177,IL,Independent
177,IN,Independent
177,KS,Independent
177,KY,Independent
177,LA,Independent
177,MA,Independent
154,DE,Independent
154,FL,Independent
154,GA,Independent
154,HI,Independent
154,IA,Independent
154,ID,Independent
154,IL,Independent
154,IN,Independent
154,KS,Independent
154,KY,Independent
023,NE,Independent
023,NH,Independent
023,NJ,Independent
023,NM,Independent
023,NV,Independent
023,OH,Independent
023,OK,Independent
032,IN,ACA
032,KS,ACA
032,KY,ACA
032,LA,ACA
032,MA,ACA
032,MD,ACA
032,ME,ACA
119,VI,Independent
119,VT,Independent
119,WA,Independent
119,WI,Independent
119,WV,Independent
119,WY,Independent
119,ZZ,Independent
127,AK,ACA
127,AL,ACA
127,AR,ACA
127,AZ,ACA
127,CA,ACA
127,CO,ACA
127,CT,ACA
127,DC,ACA
127,DE,ACA
127,FL,ACA
127,GA,ACA
127,HI,ACA
127,IA,ACA
127,ID,ACA
127,IL,ACA
127,IN,ACA
127,KS,ACA
127,KY,ACA
127,LA,ACA
127,MA,ACA
127,MD,ACA
002,ME,MWG
002,MI,MWG
002,MN,MWG
002,MO,MWG
002,MS,MWG
002,MT,MWG
002,NC,MWG
002,ND,MWG
002,NE,MWG
002,NH,MWG
002,NJ,MWG
002,NM,MWG
002,NV,MWG
002,OH,MWG
002,OK,MWG
002,OR,MWG
002,PA,MWG
002,PR,MWG
002,RI,MWG
002,SC,MWG
002,SD,MWG
002,TN,MWG
002,TX,MWG
002,UT,MWG
002,VA,MWG
002,VI,MWG
004,PA,ACE
004,PR,ACE
004,RI,ACE
004,SC,ACE
004,SD,ACE
004,TN,ACE
004,TX,ACE
004,UT,ACE
004,VA,ACE
004,VI,ACE
004,VT,ACE
004,WA,ACE
004,WI,ACE
004,WV,ACE
004,WY,ACE
004,ZZ,ACE
005,AK,MWG
005,AL,MWG
005,AR,MWG
005,AZ,MWG
005,CA,MWG
005,CO,MWG
005,CT,MWG
005,DC,MWG
005,DE,MWG
005,FL,MWG
005,GA,MWG
005,HI,MWG
005,IA,MWG
005,ID,MWG
005,IL,MWG
005,IN,MWG
005,KS,MWG
005,KY,MWG
005,LA,MWG
005,MA,MWG
005,MD,MWG
005,ME,MWG
005,MI,MWG
005,MN,MWG
005,MO,MWG
005,MS,MWG
005,MT,MWG
005,NC,MWG
005,ND,MWG
005,NE,MWG
005,NH,MWG
005,NJ,MWG
005,NM,MWG
005,NV,MWG
005,OH,MWG
005,OK,MWG
005,OR,MWG
005,PA,MWG
005,PR,MWG
005,RI,MWG
005,SC,MWG
005,SD,MWG
005,TN,MWG
005,TX,MWG
005,UT,MWG
005,VA,MWG
005,VI,MWG
005,VT,MWG
005,WA,MWG
005,WI,MWG
005,WV,MWG
005,WY,MWG
005,ZZ,MWG
006,AK,ACG
006,AL,ACG
119,LA,Independent
119,MA,Independent
119,MD,Independent
119,ME,Independent
119,MI,Independent
119,MN,Independent
119,MO,Independent
119,MS,Independent
137,OH,Independent
137,OK,Independent
137,OR,Independent
137,PA,Independent
137,PR,Independent
137,RI,Independent
137,SC,Independent
137,SD,Independent
057,VT,Independent
057,WA,Independent
057,WI,Independent
033,MD,ACE
033,ME,ACE
033,MI,ACE
033,MN,ACE
033,MO,ACE
033,MS,ACE
033,MT,ACE
033,NC,ACE
033,ND,ACE
033,NE,ACE
033,NH,ACE
033,NJ,ACE
033,NM,ACE
033,NV,ACE
033,OH,ACE
033,OK,ACE
033,OR,ACE
033,PA,ACE
033,PR,ACE
033,RI,ACE
033,SC,ACE
033,SD,ACE
033,TN,ACE
033,TX,ACE
033,UT,ACE
033,VA,ACE
033,VI,ACE
033,VT,ACE
033,WA,ACE
033,WI,ACE
033,WV,ACE
033,WY,ACE
033,ZZ,ACE
034,AK,ACA
034,AL,ACA
034,AR,ACA
034,AZ,ACA
034,CA,ACA
034,CO,ACA
034,CT,ACA
066,VA,MWG
119,MT,Independent
119,NC,Independent
119,ND,Independent
119,NE,Independent
119,NH,Independent
119,NJ,Independent
119,NM,Independent
119,NV,Independent
119,OH,Independent
119,OK,Independent
119,OR,Independent
119,PA,Independent
119,PR,Independent
119,RI,Independent
119,SC,Independent
119,SD,Independent
119,TN,Independent
119,TX,Independent
119,UT,Independent
119,VA,Independent
160,CT,Independent
160,DC,Independent
160,DE,Independent
160,FL,Independent
128,WA,ACE
128,WI,ACE
128,WV,ACE
128,WY,ACE
128,ZZ,ACE
006,KS,ACG
006,KY,ACG
006,LA,ACG
006,MA,ACG
006,MD,ACG
006,ME,ACG
006,MI,ACG
006,MN,ACG
006,MO,ACG
006,MS,ACG
006,MT,ACG
006,NC,ACG
006,ND,ACG
006,NE,ACG
006,NH,ACG
006,NJ,ACG
006,NM,ACG
006,NV,ACG
006,OH,ACG
006,OK,ACG
127,NV,ACA
127,SC,ACA
127,SD,ACA
127,TN,ACA
127,TX,ACA
127,UT,ACA
127,VA,ACA
127,VI,ACA
127,VT,ACA
127,WA,ACA
127,WI,ACA
127,WV,ACA
127,WY,ACA
127,ZZ,ACA
128,AK,ACE
128,AL,ACE
128,AR,ACE
128,AZ,ACE
128,CA,ACE
128,CO,ACE
128,CT,ACE
128,DC,ACE
128,DE,ACE
128,FL,ACE
128,GA,ACE
128,HI,ACE
128,IA,ACE
128,ID,ACE
128,IL,ACE
128,IN,ACE
128,KS,ACE
128,KY,ACE
137,CO,Independent
137,CT,Independent
137,DC,Independent
137,DE,Independent
137,FL,Independent
137,GA,Independent
137,HI,Independent
137,IA,Independent
137,ID,Independent
137,IL,Independent
137,IN,Independent
001,NH,ACE
001,NJ,ACE
001,NM,ACE
001,NV,ACE
001,OH,ACE
001,OK,ACE
001,OR,ACE
001,PA,ACE
001,PR,ACE
001,RI,ACE
001,SC,ACE
001,SD,ACE
001,TN,ACE
001,TX,ACE
000,AK,Independent
000,AL,Independent
000,AR,Independent
000,AZ,Independent
000,CA,Independent
000,CO,Independent
000,CT,Independent
000,DC,Independent
000,DE,Independent
000,FL,Independent
000,GA,Independent
000,HI,Independent
000,IA,Independent
000,ID,Independent
000,IL,Independent
000,IN,Independent
000,KS,Independent
000,KY,Independent
000,LA,Independent
000,MA,Independent
000,MD,Independent
000,ME,Independent
000,MI,Independent
000,MN,Independent
000,MO,Independent
000,MS,Independent
000,MT,Independent
000,NC,Independent
000,ND,Independent
000,NE,Independent
000,NH,Independent
000,NJ,Independent
000,NM,Independent
000,NV,Independent
000,OH,Independent
000,OK,Independent
000,OR,Independent
000,PA,Independent
000,PR,Independent
006,OR,ACG
006,PA,ACG
006,PR,ACG
006,RI,ACG
006,SC,ACG
006,SD,ACG
006,TN,ACG
006,TX,ACG
006,UT,ACG
006,VA,ACG
006,VI,ACG
154,LA,Independent
154,MA,Independent
154,MD,Independent
154,ME,Independent
154,MI,Independent
154,MN,Independent
154,MO,Independent
154,MS,Independent
006,VT,ACG
006,WA,ACG
006,WI,ACG
006,WV,ACG
006,WY,ACG
